marketplace_id,amazon_category_name,a,b,bsr_1,slope_150
ATVPDKIKX0DER,Appliances,8.26961712035244,-0.696678662727717,,
A2EUQ1WTGCTBG2,Automotive,9.74512076775389,-0.675705093179842,,
A2EUQ1WTGCTBG2,Baby,10.2202674010037,-0.778247621906293,,
A2EUQ1WTGCTBG2,Beauty & Personal Care,12.3764785301652,-0.929109303462417,,
A2EUQ1WTGCTBG2,Books,13.2293684525741,-1.17780099522685,,
A2EUQ1WTGCTBG2,Clothing & Accessories,12.995979764832,-0.893706950968164,,
A2EUQ1WTGCTBG2,Electronics,10.4517757124798,-0.780124913388242,,
A2EUQ1WTGCTBG2,Handmade Products,5.99751695956265,-0.568882728707516,,
A2EUQ1WTGCTBG2,Health & Personal Care,13.789052644938,-1.08439852345978,,
A2EUQ1WTGCTBG2,Home,13.0641057898488,-0.881123927084245,,
A2EUQ1WTGCTBG2,Industrial & Scientific,8.92917522811192,-0.683621426037782,,
A2EUQ1WTGCTBG2,Jewelry,5.95641767899526,-0.354288734723625,,
A2EUQ1WTGCTBG2,Luggage & Bags,7.58124568819396,-0.70401917313545,,
A2EUQ1WTGCTBG2,"Musical Instruments, Stage & Studio",8.72101203632801,-0.726990868698331,,
A2EUQ1WTGCTBG2,Office Products,11.1785966384529,-0.867749593335601,,
A2EUQ1WTGCTBG2,"Patio, Lawn & Garden",10.1870684938157,-0.79271009397484,,
A2EUQ1WTGCTBG2,Pet Supplies,12.2501823661797,-0.984730005236258,,
A2EUQ1WTGCTBG2,Shoes & Handbags,11.1035490230303,-0.95669735823734,,
A2EUQ1WTGCTBG2,Sports & Outdoors,12.0094504414207,-0.908140405959247,,
A2EUQ1WTGCTBG2,Tools & Home Improvement,12.5145007574861,-0.894703881580746,,
A2EUQ1WTGCTBG2,Toys & Games,11.5606805932748,-0.791836704967739,,
A2EUQ1WTGCTBG2,Watches,7.29168453023625,-0.521503074184407,,
A1AM78C64UM0Y8,Automotriz y Motocicletas,7.31753237354361,-0.575246138393938,,
A1AM78C64UM0Y8,BebÃ©,10.2551091034283,-0.89982083344385,,
A1AM78C64UM0Y8,Deportes y Aire Libre,9.0452156863157,-0.711017024323334,,
A1AM78C64UM0Y8,ElectrÃ³nicos,10.6472008814321,-0.803463196531792,,
A1AM78C64UM0Y8,Herramientas y Mejoras del Hogar,8.894163610177,-0.74941563777923,,
A1AM78C64UM0Y8,Hogar y Cocina,10.9224411942152,-0.837709850279495,,
A1AM78C64UM0Y8,"Industria, Empresas y Ciencia",6.10199689536844,-0.272167544913585,,
A1AM78C64UM0Y8,Instrumentos Musicales,7.28422437849903,-0.679279194638738,,
A1AM78C64UM0Y8,Juguetes y Juegos,8.41412105528919,-0.643111664392255,,
A1AM78C64UM0Y8,Libros,8.61014179423878,-0.533938887144041,,
A1AM78C64UM0Y8,MÃºsica,6.49283352538324,-0.508833420705318,,
A1AM78C64UM0Y8,Oficina y papelerÃ­a,7.90363011719369,-0.660789881445194,,
A1AM78C64UM0Y8,Productos Handmade,3.38882413794215,-0.127012070697598,,
A1AM78C64UM0Y8,Productos para Animales,9.15685499496489,-0.810756896466142,,
A1AM78C64UM0Y8,"Ropa, Zapatos y Accesorios",7.00362132135897,-0.417920204513716,,
A1AM78C64UM0Y8,"Salud, Belleza y Cuidado Personal",12.0731128867036,-0.988082586817857,,
A1AM78C64UM0Y8,Videojuegos,7.89626594250336,-0.603116714931615,,
A1F83G8C2ARO7P,Baby Products,-1.08549457081291,13.4283625829835,,
A1F83G8C2ARO7P,Beauty,-0.915978203030586,13.5572256383004,,
A1F83G8C2ARO7P,Clothing,-0.686106268371293,10.8672368262187,,
A1F83G8C2ARO7P,Computers & Accessories,-0.967985130698282,13.5685012253296,,
A1F83G8C2ARO7P,DIY & Tools,-0.957578944900661,13.7668339064333,,
A1F83G8C2ARO7P,Electronics & Photo,-0.984927981367156,12.5104618452527,,
A1F83G8C2ARO7P,Garden & Outdoors,-0.87356496049927,12.171650954588,,
A1F83G8C2ARO7P,Grocery,-1.04317077177082,14.8871940049978,,
A1F83G8C2ARO7P,Health & Personal Care,-0.930021943402588,13.6576456972185,,
A1F83G8C2ARO7P,Home & Kitchen,-0.860158827897114,13.9138183349834,,
A1F83G8C2ARO7P,Jewellery,-0.730390090235811,9.54222603032232,,
A1F83G8C2ARO7P,Lighting,-0.890538220653616,12.2945680545628,,
A1F83G8C2ARO7P,Luggage,-0.69170401612258,9.67462594817888,,
A1F83G8C2ARO7P,Musical Instruments & DJ,-0.744907495744774,9.57754046241886,,
A1F83G8C2ARO7P,PC & Video Games,-0.83048564147173,10.9459404266974,,
A1F83G8C2ARO7P,Pet Supplies,-0.885877345254981,12.6312432544936,,
A1F83G8C2ARO7P,Shoes & Bags,-0.698055223195782,10.270457183027,,
A1F83G8C2ARO7P,Sports & Outdoors,-0.762700884157108,12.3077396476313,,
A1F83G8C2ARO7P,Stationery & Office Supplies,-0.848765196814636,12.589522844114,,
A1F83G8C2ARO7P,Toys & Games,-0.7499240156621,12.9532073932583,,
A1F83G8C2ARO7P,Watches,-0.651635474690544,8.48788094556597,,
ATVPDKIKX0DER,"Arts, Crafts & Sewing",13.224706,-0.81064,24138.5485,97.346851
ATVPDKIKX0DER,Automotive,12.713895,-0.771873,20624.049,91.168515
ATVPDKIKX0DER,Baby,15.106125,-1.029467,35968.1478,100.407512
ATVPDKIKX0DER,Beauty & Personal Care,14.001234,-0.779645,45270.7739,140.373409
ATVPDKIKX0DER,Books,14.035471,-0.812752,26010,31.881302
ATVPDKIKX0DER,Camera & Photo,9.796726,-0.581395,2578.0526,10.679665
ATVPDKIKX0DER,Cell Phones & Accessories,12.897362,-0.708866,28569.1575,114.146874
ATVPDKIKX0DER,"Clothing, Shoes & Jewelry",14.411929,-0.784821,41261.1865,37.889607
ATVPDKIKX0DER,Computers & Accessories,10.935097,-0.682565,4272.7844,16.249316
ATVPDKIKX0DER,Electronics,12.949069,-0.835046,18338.469,79.551164
ATVPDKIKX0DER,Grocery & Gourmet Food,14.481807,-0.912337,46821.7378,177.884017
ATVPDKIKX0DER,Handmade Products,9.181179,-0.67526,2496.0926,14.443684
ATVPDKIKX0DER,Health & Household,16.168077,-0.975588,96988.4538,118.57435
ATVPDKIKX0DER,Home & Kitchen,14.618471,-0.801026,71259.3537,206.202824
ATVPDKIKX0DER,Industrial & Scientific,14.352699,-0.984277,22835.0191,69.946708
ATVPDKIKX0DER,Kitchen & Dining,14.286374,-0.87904,45531.5311,173.067442
ATVPDKIKX0DER,Musical Instruments,11.786099,-0.832095,4866.7956,18.898624
ATVPDKIKX0DER,Office Products,15.38883,-1.006424,34618.2856,23.239232
ATVPDKIKX0DER,"Patio, Lawn & Garden",12.227934,-0.743231,14332.3668,62.656784
ATVPDKIKX0DER,Pet Supplies,15.698535,-1.025369,57323.754,124.882137
ATVPDKIKX0DER,Sports & Outdoors,13.68091,-0.843332,27115.239,95.598595
ATVPDKIKX0DER,Tools & Home Improvement,14.041778,-0.832638,62144.4952,285.388752
ATVPDKIKX0DER,Toys & Games,12.739527,-0.716668,27162.1595,118.407957
ATVPDKIKX0DER,Video Games,10.870612,-0.61905,3282.3347,6.111742
